consumer_id,group,amount,purchase,redeem,pageviews,visit,discount
1,T1L,0,0,0,0,0,0
2,T1L,0,0,0,0,0,0
3,T1L,0,0,0,0,0,0
4,T1L,0,0,0,0,0,0
5,T1L,0,0,0,10,1,0
6,T1L,0,0,0,0,0,0
7,T1L,0,0,0,0,0,0
8,T1L,0,0,0,0,0,0
9,T1L,0,0,0,14,1,0
10,T1L,0,0,0,0,0,0
11,T1L,0,0,0,5,1,0
12,T1L,0,0,0,0,0,0
13,T1L,0,0,0,7,1,0
14,T1L,0,0,0,0,0,0
15,T1L,0,0,0,0,0,0
16,T1L,0,0,0,0,0,0
17,T1L,0,0,0,9,1,0
18,T1L,0,0,0,10,1,0
19,T1L,0,0,0,0,0,0
20,T1L,0,0,0,8,1,0
21,T1L,0,0,0,10,1,0
22,T1L,0,0,0,0,0,0
23,T1L,0,0,0,0,0,0
24,T1L,0,0,0,0,0,0
25,T1L,0,0,0,0,0,0
26,T1L,0,0,0,0,0,0
27,T1L,0,0,0,0,0,0
28,T1L,0,0,0,0,0,0
29,T1L,31.23010384,1,0,9,1,0.397641772
30,T1L,0,0,0,0,0,0
31,T1L,0,0,0,8,1,0
32,T1L,0,0,0,0,0,0
33,T1L,0,0,0,0,0,0
34,T1L,0,0,0,0,0,0
35,T1L,0,0,0,19,1,0
36,T1L,0,0,0,0,0,0
37,T1L,0,0,0,13,1,0
38,T1L,0,0,0,0,0,0
39,T1L,0,0,0,13,1,0
40,T1L,0,0,0,0,0,0
41,T1L,0,0,0,13,1,0
42,T1L,21.08005882,1,0,5,1,0.364863959
43,T1L,0,0,0,0,0,0
44,T1L,0,0,0,0,0,0
45,T1L,0,0,0,0,0,0
46,T1L,0,0,0,0,0,0
47,T1L,0,0,0,0,0,0
48,T1L,0,0,0,0,0,0
49,T1L,0,0,0,0,0,0
50,T1L,0,0,0,0,0,0
51,T1L,0,0,0,0,0,0
52,T1L,0,0,0,0,0,0
53,T1L,0,0,0,0,0,0
54,T1L,0,0,0,0,0,0
55,T1L,0,0,0,0,0,0
56,T1L,0,0,0,0,0,0
57,T1L,0,0,0,0,0,0
58,T1L,0,0,0,0,0,0
59,T1L,0,0,0,0,0,0
60,T1L,0,0,0,0,0,0
61,T1L,0,0,0,9,1,0
62,T1L,0,0,0,11,1,0
63,T1L,0,0,0,10,1,0
64,T1L,0,0,0,0,0,0
65,T1L,0,0,0,0,0,0
66,T1L,0,0,0,4,1,0
67,T1L,0,0,0,0,0,0
68,T1L,0,0,0,0,0,0
69,T1L,0,0,0,0,0,0
70,T1L,0,0,0,0,0,0
71,T1L,0,0,0,0,0,0
72,T1L,0,0,0,0,0,0
73,T1L,0,0,0,7,1,0
74,T1L,0,0,0,0,0,0
75,T1L,0,0,0,0,0,0
76,T1L,0,0,0,0,0,0
77,T1L,0,0,0,12,1,0
78,T1L,41.39775808,1,0,10,1,0.354037736
79,T1L,0,0,0,12,1,0
80,T1L,0,0,0,13,1,0
81,T1L,0,0,0,0,0,0
82,T1L,0,0,0,0,0,0
83,T1L,0,0,0,0,0,0
84,T1L,0,0,0,6,1,0
85,T1L,0,0,0,0,0,0
86,T1L,0,0,0,0,0,0
87,T1L,0,0,0,0,0,0
88,T1L,0,0,0,11,1,0
89,T1L,0,0,0,12,1,0
90,T1L,0,0,0,12,1,0
91,T1L,0,0,0,0,0,0
92,T1L,0,0,0,0,0,0
93,T1L,0,0,0,0,0,0
94,T1L,0,0,0,0,0,0
95,T1L,0,0,0,9,1,0
96,T1L,0,0,0,0,0,0
97,T1L,0,0,0,11,1,0
98,T1L,0,0,0,12,1,0
99,T1L,0,0,0,12,1,0
100,T1L,0,0,0,0,0,0
101,T1L,0,0,0,0,0,0
102,T1L,0,0,0,0,0,0
103,T1L,0,0,0,12,1,0
104,T1L,0,0,0,0,0,0
105,T1L,0,0,0,0,0,0
106,T1L,0,0,0,0,0,0
107,T1L,0,0,0,0,0,0
108,T1L,0,0,0,0,0,0
109,T1L,0,0,0,0,0,0
110,T1L,0,0,0,0,0,0
111,T1L,0,0,0,0,0,0
112,T1L,0,0,0,0,0,0
113,T1L,0,0,0,0,0,0
114,T1L,0,0,0,0,0,0
115,T1L,0,0,0,0,0,0
116,T1L,0,0,0,0,0,0
117,T1L,0,0,0,0,0,0
118,T1L,0,0,0,0,0,0
119,T1L,0,0,0,0,0,0
120,T1L,0,0,0,0,0,0
121,T1L,0,0,0,0,0,0
122,T1L,0,0,0,0,0,0
123,T1L,0,0,0,0,0,0
124,T1L,0,0,0,0,0,0
125,T1L,0,0,0,0,0,0
126,T1L,0,0,0,12,1,0
127,T1L,0,0,0,8,1,0
128,T1L,0,0,0,9,1,0
129,T1L,0,0,0,0,0,0
130,T1L,0,0,0,0,0,0
131,T1L,0,0,0,0,0,0
132,T1L,0,0,0,0,0,0
133,T1L,0,0,0,0,0,0
134,T1L,0,0,0,15,1,0
135,T1L,0,0,0,0,0,0
136,T1L,0,0,0,0,0,0
137,T1L,0,0,0,0,0,0
138,T1L,0,0,0,15,1,0
139,T1L,0,0,0,8,1,0
140,T1L,0,0,0,3,1,0
141,T1L,0,0,0,11,1,0
142,T1L,0,0,0,0,0,0
143,T1L,0,0,0,0,0,0
144,T1L,0,0,0,0,0,0
145,T1L,0,0,0,0,0,0
146,T1L,0,0,0,13,1,0
147,T1L,0,0,0,13,1,0
148,T1L,0,0,0,10,1,0
149,T1L,0,0,0,13,1,0
150,T1L,0,0,0,0,0,0
151,T1L,0,0,0,0,0,0
152,T1L,0,0,0,0,0,0
153,T1L,0,0,0,0,0,0
154,T1L,0,0,0,0,0,0
155,T1L,0,0,0,0,0,0
156,T1L,0,0,0,0,0,0
157,T1L,0,0,0,0,0,0
158,T1L,0,0,0,0,0,0
159,T1L,0,0,0,10,1,0
160,T1L,0,0,0,9,1,0
161,T1L,0,0,0,0,0,0
162,T1L,0,0,0,0,0,0
163,T1L,0,0,0,0,0,0
164,T1L,0,0,0,10,1,0
165,T1L,0,0,0,0,0,0
166,T1L,0,0,0,0,0,0
167,T1L,0,0,0,5,1,0
168,T1L,0,0,0,0,0,0
169,T1L,0,0,0,12,1,0
170,T1L,0,0,0,9,1,0
171,T1L,0,0,0,0,0,0
172,T1L,0,0,0,0,0,0
173,T1L,0,0,0,0,0,0
174,T1L,0,0,0,0,0,0
175,T1L,0,0,0,0,0,0
176,T1L,0,0,0,0,0,0
177,T1L,0,0,0,0,0,0
178,T1L,0,0,0,0,0,0
179,T1L,0,0,0,13,1,0
180,T1L,0,0,0,0,0,0
181,T1L,0,0,0,0,0,0
182,T1L,0,0,0,9,1,0
183,T1L,0,0,0,0,0,0
184,T1L,0,0,0,0,0,0
185,T1L,0,0,0,0,0,0
186,T1L,0,0,0,0,0,0
187,T1L,0,0,0,8,1,0
188,T1L,0,0,0,0,0,0
189,T1L,0,0,0,0,0,0
190,T1L,0,0,0,8,1,0
191,T1L,0,0,0,0,0,0
192,T1L,0,0,0,0,0,0
193,T1L,0,0,0,0,0,0
194,T1L,0,0,0,8,1,0
195,T1L,0,0,0,0,0,0
196,T1L,0,0,0,0,0,0
197,T1L,0,0,0,17,1,0
198,T1L,0,0,0,0,0,0
199,T1L,0,0,0,15,1,0
200,T1L,0,0,0,0,0,0
201,T1L,0,0,0,0,0,0
202,T1L,22.83721255,1,1,6,1,0.234606366
203,T1L,0,0,0,12,1,0
204,T1L,0,0,0,0,0,0
205,T1L,0,0,0,0,0,0
206,T1L,0,0,0,8,1,0
207,T1L,0,0,0,12,1,0
208,T1L,0,0,0,13,1,0
209,T1L,0,0,0,0,0,0
210,T1L,0,0,0,0,0,0
211,T1L,0,0,0,0,0,0
212,T1L,0,0,0,0,0,0
213,T1L,0,0,0,0,0,0
214,T1L,0,0,0,0,0,0
215,T1L,0,0,0,13,1,0
216,T1L,0,0,0,8,1,0
217,T1L,0,0,0,9,1,0
218,T1L,0,0,0,0,0,0
219,T1L,0,0,0,11,1,0
220,T1L,0,0,0,10,1,0
221,T1L,0,0,0,8,1,0
222,T1L,0,0,0,0,0,0
223,T1L,0,0,0,9,1,0
224,T1L,0,0,0,9,1,0
225,T1L,0,0,0,0,0,0
226,T1L,0,0,0,0,0,0
227,T1L,0,0,0,0,0,0
228,T1L,0,0,0,9,1,0
229,T1L,0,0,0,0,0,0
230,T1L,0,0,0,11,1,0
231,T1L,0,0,0,0,0,0
232,T1L,0,0,0,0,0,0
233,T1L,0,0,0,0,0,0
234,T1L,0,0,0,0,0,0
235,T1L,0,0,0,0,0,0
236,T1L,0,0,0,0,0,0
237,T1L,0,0,0,16,1,0
238,T1L,0,0,0,0,0,0
239,T1L,0,0,0,0,0,0
240,T1L,0,0,0,0,0,0
241,T1L,0,0,0,5,1,0
242,T1L,0,0,0,11,1,0
243,T1L,0,0,0,0,0,0
244,T1L,0,0,0,6,1,0
245,T1L,0,0,0,0,0,0
246,T1L,0,0,0,12,1,0
247,T1L,0,0,0,5,1,0
248,T1L,0,0,0,0,0,0
249,T1L,0,0,0,12,1,0
250,T1L,0,0,0,12,1,0
251,T1L,0,0,0,0,0,0
252,T1L,0,0,0,11,1,0
253,T1L,0,0,0,10,1,0
254,T1L,0,0,0,12,1,0
255,T1L,0,0,0,0,0,0
256,T1L,0,0,0,0,0,0
257,T1L,0,0,0,14,1,0
258,T1L,0,0,0,0,0,0
259,T1L,0,0,0,5,1,0
260,T1L,0,0,0,0,0,0
261,T1L,0,0,0,0,0,0
262,T1L,0,0,0,0,0,0
263,T1L,0,0,0,0,0,0
264,T1L,0,0,0,0,0,0
265,T1L,0,0,0,0,0,0
266,T1L,0,0,0,0,0,0
267,T1L,0,0,0,14,1,0
268,T1L,0,0,0,0,0,0
269,T1L,0,0,0,13,1,0
270,T1L,0,0,0,0,0,0
271,T1L,0,0,0,0,0,0
272,T1L,0,0,0,0,0,0
273,T1L,0,0,0,12,1,0
274,T1L,0,0,0,0,0,0
275,T1L,0,0,0,0,0,0
276,T1L,0,0,0,0,0,0
277,T1L,0,0,0,0,0,0
278,T1L,0,0,0,0,0,0
279,T1L,0,0,0,0,0,0
280,T1L,0,0,0,11,1,0
281,T1L,0,0,0,0,0,0
282,T1L,0,0,0,9,1,0
283,T1L,0,0,0,8,1,0
284,T1L,0,0,0,13,1,0
285,T1L,0,0,0,10,1,0
286,T1L,0,0,0,0,0,0
287,T1L,0,0,0,0,0,0
288,T1L,0,0,0,0,0,0
289,T1L,0,0,0,15,1,0
290,T1L,0,0,0,7,1,0
291,T1L,0,0,0,9,1,0
292,T1L,0,0,0,0,0,0
293,T1L,0,0,0,11,1,0
294,T1L,0,0,0,10,1,0
295,T1L,0,0,0,14,1,0
296,T1L,0,0,0,7,1,0
297,T1L,0,0,0,9,1,0
298,T1L,0,0,0,8,1,0
299,T1L,0,0,0,6,1,0
300,T1L,0,0,0,0,0,0
301,T1L,0,0,0,0,0,0
302,T1L,0,0,0,9,1,0
303,T1L,0,0,0,0,0,0
304,T1L,0,0,0,0,0,0
305,T1L,0,0,0,7,1,0
306,T1L,0,0,0,16,1,0
307,T1L,0,0,0,0,0,0
308,T1L,0,0,0,9,1,0
309,T1L,0,0,0,12,1,0
310,T1L,0,0,0,0,0,0
311,T1L,0,0,0,0,0,0
312,T1L,0,0,0,0,0,0
313,T1L,0,0,0,9,1,0
314,T1L,0,0,0,9,1,0
315,T1L,0,0,0,8,1,0
316,T1L,0,0,0,12,1,0
317,T1L,0,0,0,12,1,0
318,T1L,0,0,0,0,0,0
319,T1L,0,0,0,0,0,0
320,T1L,0,0,0,0,0,0
321,T1L,0,0,0,8,1,0
322,T1L,0,0,0,0,0,0
323,T1L,0,0,0,0,0,0
324,T1L,0,0,0,0,0,0
325,T1L,0,0,0,0,0,0
326,T1L,0,0,0,0,0,0
327,T1L,0,0,0,6,1,0
328,T1L,0,0,0,10,1,0
329,T1L,0,0,0,0,0,0
330,T1L,0,0,0,0,0,0
331,T1L,0,0,0,6,1,0
332,T1L,0,0,0,0,0,0
333,T1L,0,0,0,0,0,0
334,T1L,0,0,0,0,0,0
335,T1L,0,0,0,0,0,0
336,T1L,0,0,0,0,0,0
337,T1L,0,0,0,0,0,0
338,T1L,0,0,0,0,0,0
339,T1L,0,0,0,0,0,0
340,T1L,0,0,0,12,1,0
341,T1L,0,0,0,10,1,0
342,T1L,0,0,0,0,0,0
343,T1L,0,0,0,8,1,0
344,T1L,0,0,0,0,0,0
345,T1L,0,0,0,9,1,0
346,T1L,0,0,0,6,1,0
347,T1L,0,0,0,0,0,0
348,T1L,0,0,0,0,0,0
349,T1L,24.86002456,1,0,12,1,0.302426293
350,T1L,0,0,0,10,1,0
351,T1L,0,0,0,0,0,0
352,T1L,0,0,0,0,0,0
353,T1L,0,0,0,0,0,0
354,T1L,0,0,0,0,0,0
355,T1L,0,0,0,0,0,0
356,T1L,0,0,0,0,0,0
357,T1L,0,0,0,0,0,0
358,T1L,0,0,0,8,1,0
359,T1L,0,0,0,6,1,0
360,T1L,0,0,0,0,0,0
361,T1L,0,0,0,0,0,0
362,T1L,0,0,0,0,0,0
363,T1L,0,0,0,0,0,0
364,T1L,0,0,0,0,0,0
365,T1L,0,0,0,0,0,0
366,T1L,0,0,0,0,0,0
367,T1L,0,0,0,0,0,0
368,T1L,0,0,0,0,0,0
369,T1L,0,0,0,0,0,0
370,T1L,0,0,0,11,1,0
371,T1L,0,0,0,11,1,0
372,T1L,0,0,0,0,0,0
373,T1L,0,0,0,0,0,0
374,T1L,0,0,0,0,0,0
